,TMAX,TMIN,TMEAN
2009-12-03,-0.183333334823449,-2.3924999833107,-1.6284523659518797
2009-12-04,0.356666671733061,-2.07666659355164,-0.8581190378538202
2009-12-05,6.66666666666667,0.43166666974624,3.9737500048552956
2009-12-06,5.84333332379659,3.68166665236155,4.623611135615242
2009-12-07,3.85333339373271,0.761666665474574,2.7379166732231774
2009-12-08,6.63800001144409,1.58333335320155,4.112194447053804
2009-12-09,11.6466666857402,9.00833336512248,9.934509800929657
2009-12-10,10.778333346049,8.58666666348775,9.528819425238508
2009-12-11,10.8166667620341,6.8866666952769,8.389027757777109
2009-12-12,8.96999979019165,3.24666666984558,7.134375014238888
2009-12-13,3.85333331425985,-8.10000022252401,-2.900000020046717
2009-12-14,-6.65833338101705,-10.0149998664856,-8.481249978144964
2009-12-15,-4.58333333333333,-9.93833335240682,-8.800902780559328
2009-12-16,1.85166668891907,-4.0416667064031,0.21145833601864705
2009-12-17,0.938333342472712,-6.18833343187968,-1.9321527831618568
2009-12-18,-4.62833333015442,-9.52833334604899,-6.3752083447244425
2009-12-19,-7.41666658719381,-10.9799998601278,-9.45576386319267
2009-12-20,-1.18666665752729,-10.488333384196,-5.30854165885184
2009-12-21,0.203333335928619,-5.99166671435038,-1.5982638938455942
2009-12-22,0.388333335518837,-4.8866666952769,-0.48504167090221845
2009-12-23,2.0450000166893,-3.2683333158493,-0.7959722216732592
2009-12-24,2.93666672706604,-2.93666664759318,1.1455555635685515
2009-12-25,-3.0,-6.94500001271566,-5.099708340565364
2009-12-26,0.384999996672074,-6.12500007947286,-2.0336111216909356
2009-12-27,3.97200002670288,-5.93333331743876,0.39479166158578466
2009-12-28,5.69166668256124,1.51499997576078,3.809166657841868
2009-12-29,5.21333336830139,2.91333333651225,4.43380555609862
2009-12-30,3.81499993801117,-1.47833333412806,-0.0010416717009828675
2009-12-31,-1.16999997695287,-7.15833330154419,-3.2974305392967334
2010-01-01,-6.16333333651225,-6.60166668891907,-6.314285704067777
2010-01-05,-1.66999999682109,-4.50000007947286,-3.2548484928680184
2010-01-06,-4.16000000635783,-8.25833336512248,-6.604861113760207
2010-01-07,-6.85500001907349,-7.76333332061768,-7.250238083657765
2010-01-10,-3.59666665395101,-9.59333324432373,-6.56004761060079
2010-01-11,-1.36499998966853,-4.55999994277954,-3.036519606908162
2010-01-12,-0.18166666974624,-1.21000001827876,-0.7355238064413988
2010-01-13,-1.13000001509984,-2.25999999046326,-1.3896428531124485
2010-01-14,-3.64333335558573,-4.14833331108093,-3.9433333520536067
2010-01-15,3.41666666666667,-5.3125,-0.7840151431772754
2010-01-16,3.89166669050852,2.33500003814697,3.392948717643053
2010-01-17,3.0833332935969,2.20000000794729,2.637533328798082
2010-01-18,6.38250005245209,1.8933333158493,3.647210124610126
2010-01-19,2.88000007470449,-2.04666662216187,1.3863888930581094
2010-01-20,-0.148333335916201,-3.08833332856496,-1.9697916765904262
2010-01-21,6.24199991226196,-5.15499997138977,0.6364444540192686
2010-01-22,6.01833335558573,2.75666662057241,3.907124993867345
2010-01-23,2.99666666984558,-1.14499998092651,0.37527778378377397
2010-01-24,0.084999999652306,-2.13499999046326,-0.8164285701655206
2010-01-25,-2.94333338737488,-2.94333338737488,-2.94333338737488
2010-01-27,-6.16000000635783,-8.42833336194356,-7.186282029518714
2010-01-28,-0.646666680773099,-6.33499995867411,-3.5854861115415884
2010-01-29,-2.18666672706604,-4.875,-3.8652777870496116
2010-01-30,-2.99833333492279,-5.38166658083598,-4.349722219838037
2010-01-31,-2.36666663487752,-4.27500017484029,-3.640499993165334
2010-02-01,-0.985000024239222,-7.4399999777476,-4.595781276002525
2010-02-02,4.00499999523163,-7.51333332061768,-1.1598472174877916
2010-02-03,6.17999998728434,2.78666663169861,4.291250023576948
2010-02-04,2.83166658878326,0.401666668554147,1.965763876732025
2010-02-05,-0.0049999995778,-3.71666665871938,-2.546742433258755
2010-02-06,-1.19166666269302,-3.56833330790202,-2.3500757567810284
2010-02-07,4.08000000317891,-1.00666668017705,2.0557777819120218
2010-02-08,1.75666664044062,-1.29666670163472,0.4357142777936084
2010-02-10,-6.09000007311503,-8.25000015894572,-7.266111139897948
2010-02-11,-11.0766666730245,-11.4066665967306,-11.262500031789141
2010-02-12,-7.05166657765706,-9.628333568573,-7.820606101642954
2010-02-13,-7.0649999777476,-10.2640001296997,-8.489900027910867
2010-02-14,-5.03666679064433,-9.34999990463257,-7.077604154745738
2010-02-15,-4.50833320617676,-8.47499990463257,-6.202444415622287
2010-02-16,-0.288333334028721,-4.19999980926514,-1.946764688865811
2010-02-17,-0.950000037749608,-1.61000001430511,-1.2975000118215871
2010-02-18,-3.09999990463257,-3.09999990463257,-3.09999990463257
2010-02-19,-3.89000010490417,-5.0,-4.461111095216537
2010-02-25,5.19249993562698,3.1149999499321,4.15374994277954
2010-02-26,-0.411666663674017,-2.9,-1.8343939398443596
2010-02-27,5.375,-1.06499999761581,2.3815416655658446
2010-02-28,-0.778333346048991,-5.66333325703939,-2.8051212141911184
2010-03-01,-2.08333337306976,-5.45333329836528,-3.3450694547759148
2010-03-02,0.81166664759318,-3.20333333810171,-1.298194444518433
2010-03-03,-0.863333324591319,-2.15666671593984,-1.3742361089421642
2010-03-04,-0.47333333392938,-1.45333331823349,-0.9958333306842378
2010-03-05,-1.06666665275892,-4.93999989827474,-2.2795138909584947
2010-03-06,-0.198333335419496,-6.18833327293396,-3.6990972175780263
2010-03-07,-0.158333335071802,-4.75166662534078,-1.5293055554955373
2010-03-08,-5.63833332061768,-13.7516667048136,-10.867638922399939
2010-03-09,-5.5,-9.96999994913737,-7.545208321677314
2010-03-10,-5.06666660308838,-11.5266666412354,-9.219791657394829
2010-03-11,-4.3333332935969,-9.95000004768372,-7.227031275629996
2010-03-12,-4.9350000222524,-9.23999993006388,-7.976874977350235
2010-03-13,-3.06333335240682,-7.45249998569489,-5.161111116409303
2010-03-14,0.389999991903702,-6.72199993133545,-3.3451956426265874
2010-03-15,4.13999998569489,-1.92600002288818,1.8460454553704373
2010-03-16,4.76499998569489,-0.320000004023314,2.1591388827758964
2010-03-17,7.54333345095317,0.863333344459534,4.307638910081652
2010-03-18,7.89000002543132,4.92999998728434,6.647878813021111
2010-03-19,7.66000008583069,7.66000008583069,7.66000008583069
2010-03-30,-2.12499996026357,-5.20833341280619,-3.5050694528553215
2010-03-31,-1.21333334843318,-6.05166665712992,-3.703194443550375
2010-04-01,-1.72333335876465,-6.4449999332428,-4.6543055325746545
2010-04-02,-0.964999993642171,-6.00666666030884,-3.1072916570636964
2010-04-03,-1.77999999125799,-4.21833324432373,-2.4349583324458863
2010-04-04,-2.22166669368744,-5.77999997138977,-3.884305553303825
2010-04-05,4.22333331902822,-2.99000000953674,0.8299999946935309
2010-04-06,8.26000006993612,1.94833332300186,4.620555547376475
2010-04-07,1.84166665871938,-2.13499999046326,-0.6027083312187137
2010-04-08,7.29499999682109,0.880000005165736,4.29222221341398
2010-04-09,5.29333337148031,5.29333337148031,5.29333337148031
2010-04-30,9.88000011444092,5.72166665395101,7.447592620496398
2010-05-01,5.65499997138977,3.17499999205271,4.563819458087286
2010-05-02,6.67166662216187,2.39166663090388,4.858958321313063
2010-05-03,1.89166667064031,-5.88000003496806,-2.5404166641593395
2010-05-04,-5.19500001271566,-6.79166658719381,-5.98486112554868
2010-05-05,-2.22333335876465,-6.92500003178914,-4.282986124356588
2010-05-06,3.32166667779287,-4.82833329836528,-0.05215277289971862
2010-05-07,2.69500001271566,-0.426666654646397,0.7733333329411431
2010-05-08,2.86166659990946,-2.50999995072683,0.37756944042889135
2010-05-09,4.0666667620341,0.949999988079071,2.5976388934585786
2010-05-10,3.92000003655752,-0.373333332439264,1.4902777789652142
2010-05-11,2.81666664282481,-1.15833334128062,0.6156944439022077
2010-05-12,0.528333326180776,-1.23166664441427,-0.15055555499727977
2010-05-13,-1.19999998807907,-3.89500006039937,-2.3128472301695084
2010-05-14,-0.063333333469927,-6.10166668891907,-3.1082638928847803
2010-05-15,-0.621666664878527,-3.56666664282481,-2.007361110506786
2010-05-16,4.2983333269755,-3.44833334287008,0.46312499693077464
2010-05-17,8.50666666030884,3.12333333492279,6.344444471928807
2010-05-18,11.0083332061768,7.3700000445048,9.35576387908724
2010-05-19,11.0500000317891,7.34166669845581,9.533611151907175
2010-05-20,12.983333269755,8.21166658401489,10.512152787711887
2010-05-21,15.0800000826518,8.68166669209798,12.019374979866877
2010-05-22,14.681666692098,8.46000019709269,12.453750040796065
2010-05-23,15.0666666030884,10.3833333651225,12.666805538866258
2010-05-24,12.4799998601278,8.86166667938232,11.084305551317003
2010-05-25,9.36166683832804,5.27166668574015,7.026388880279328
2010-05-26,9.8083332379659,3.59833331902822,6.5661805835035105
2010-05-27,9.34166653951009,4.05166669686635,7.216111131840282
2010-05-28,6.82833337783813,2.81166668732961,5.287708322207133
2010-05-29,10.8666666348775,4.08999995390574,7.639791642626128
2010-05-30,14.6999999682109,8.60166660944621,12.030902763207758
2010-05-31,15.4849999745687,11.1350000699361,13.536527799235442
2010-06-01,16.2433331807454,12.0850001970927,14.166388909022004
2010-06-02,15.6450001398722,11.8233332633972,13.813819428284958
2010-06-03,16.2900001207987,12.7366665204366,14.472083363268112
2010-06-04,18.6000003814697,12.6050000190735,15.427222265137575
2010-06-05,17.3516664505005,14.2149999936422,15.7323611246215
2010-06-06,14.4949998855591,11.4399998982747,13.019375012980563
2010-06-07,15.0599999427795,9.96000003814697,12.429583337571877
2010-06-08,10.6766667366028,5.79999995231628,8.644999984237883
2010-06-09,6.63333336512248,2.85333335399628,5.042986118131214
2010-06-10,4.95333321889242,0.950000007947286,2.8774305499262294
2010-06-11,4.69999996821086,1.34500000874201,3.0342916800744013
2010-06-12,4.55166665712992,2.56666664282481,3.612361109919019
2010-06-13,8.84666681289673,3.99000004927317,6.050625001390775
2010-06-14,8.32166655858358,3.96499999364217,6.844305548402997
2010-06-15,3.28333338101705,0.876666665077209,1.5209743570822947
2010-06-27,15.9416664441427,10.3133331934611,13.318749970859946
2010-06-28,16.6683330535889,12.0133333206177,14.41840271817314
2010-06-29,17.9900000890096,12.5566668510437,15.208888901604546
2010-06-30,20.6683333714803,14.7650000254313,17.728124943044442
2010-07-01,20.1316665013631,16.7266667683919,18.47319447994232
2010-07-02,17.7516667048136,12.5700000127157,15.319583349757721
2010-07-03,17.4016666412354,10.1050003369649,13.92333336008919
2010-07-04,19.2116667429606,14.0566668510437,17.224027772744495
2010-07-05,21.1716667811076,15.1233332951864,18.47708333863153
2010-07-06,22.0583330790202,16.75,20.083541644944088
2010-07-07,23.5733334223429,18.5533329645793,20.908194409476383
2010-07-08,22.4416666030884,19.3816665013631,21.26472228103214
2010-07-09,20.7583332061768,13.7716665267944,17.88736108276579
2010-07-10,22.2599999109904,17.1283337275187,20.011805587344696
2010-07-11,23.3016668955485,18.4049997329712,20.914930568801022
2010-07-12,21.8683334986369,16.7316665649414,19.40277775128683
2010-07-13,19.7866665522257,15.9666663805644,17.961805535687343
2010-07-14,16.5449997584025,12.4783334732056,14.897500018278757
2010-07-15,20.0066668192546,12.6816665331523,16.713125010331474
2010-07-16,18.806666692098,15.0116667747498,16.943958388434513
2010-07-17,21.5516665776571,15.3333333333333,18.822013861603217
2010-07-18,22.9699999491374,16.8883333206177,20.600972202089103
2010-07-19,24.1333335240682,19.5383335749308,21.597500019603302
2010-07-20,22.2700001398722,15.460000038147,20.17208337783813
2010-07-21,17.3183336257935,13.6633334159851,16.05902777777779
2010-07-22,17.6566664377848,14.0733334223429,15.64201392067803
2010-07-23,20.6783332824707,12.9583331743876,17.22791666454739
2010-07-24,19.7699998219808,19.7699998219808,19.7699998219808
2010-08-01,20.9599997202555,17.0000006357829,18.733333243264102
2010-08-02,18.0866670608521,13.2083333333333,15.909861147403717
2010-08-03,17.096666653951,12.2716668446859,14.917430579662325
2010-08-04,16.2750002543132,12.6050000190735,14.433750006887655
