,TMAX min band,TMAX max band,TMAX
1900-10-26,-1.0,9.8,4.9924765029830995
1900-10-27,2.4,15.4,8.779640830461725
1900-10-28,7.2,20.2,14.569298479245319
1900-10-29,4.4,18.0,9.13084831888829
1900-10-30,4.2,18.8,18.682993875939538
1900-10-31,2.8,13.1,6.2230088528583645
1900-11-01,0.6,16.0,9.548289105529282
1900-11-02,9.0,22.4,16.520481026628765
1900-11-03,5.2,22.6,15.57029693249178
1900-11-04,5.4,23.4,16.47713287946974
1900-11-05,4.2,16.4,8.56095515865162
1900-11-06,1.2,10.0,4.953722293253765
1900-11-07,-1.0,20.6,9.523772106158338
1900-11-08,4.0,25.1,13.453904389692084
1900-11-09,-0.8,14.0,8.169231609356249
1900-11-10,-2.0,8.9,3.994336267984737
1900-11-11,-2.0,11.4,2.525409685750912
1900-11-12,-4.0,23.7,8.086693773277691
1900-11-13,0.0,15.4,6.025044782451876
1900-11-14,-2.6,18.0,4.956805113489162
1900-11-15,2.4,19.4,9.839367986473603
1900-11-16,-1.0,12.6,5.876139385351051
1900-11-17,-4.0,12.4,2.3864655866428737
1900-11-18,-5.2,15.0,0.5278642565362366
1900-11-19,-6.2,19.5,0.5054965911615824
1900-11-20,-1.8,12.6,4.03151039011682
1900-11-21,0.0,10.2,6.224155970146918
1900-11-22,0.6,19.5,10.05620403556683
1900-11-23,-1.2,11.2,6.6870664881506805
1900-11-24,0.6,9.0,4.82243635502162
1900-11-25,0.0,14.2,5.323679201203733
1900-11-26,0.4,24.0,4.319388088717176
1900-11-27,-0.2,9.0,3.710436587959683
1900-11-28,-3.4,6.0,2.489339735060181
1900-11-29,-2.0,7.4,1.496842569419429
1900-11-30,2.6,11.0,6.670455778691095
1900-12-01,-3.8,2.4,-1.4815947853052995
1900-12-02,-4.2,5.2,0.025891967844263755
1900-12-03,-4.8,7.6,0.8551903446439025
1900-12-04,1.2,9.8,5.646021153781919
1900-12-05,1.6,13.0,8.764797285705946
1900-12-06,-1.2,8.2,3.4679595820204567
1900-12-07,0.2,9.1,4.656735351888777
1900-12-08,0.6,10.8,4.731843843692951
1900-12-09,0.6,10.6,8.099030247098522
1900-12-10,-3.0,10.6,5.5137037577548105
1900-12-11,1.5,13.4,8.250423399283006
1900-12-12,7.0,13.0,9.402490974684467
1900-12-13,-0.8,11.0,5.136717385979313
1900-12-14,1.8,15.4,7.294330366159032
1900-12-15,1.6,13.6,9.033514689176213
1900-12-16,1.8,13.4,6.213423132730436
1900-12-17,3.8,12.0,8.081150722277371
1900-12-18,1.6,10.2,7.325494361951575
1900-12-19,4.0,13.0,8.169668289228
1900-12-20,0.6,8.0,5.30018867723785
1900-12-21,1.2,10.6,7.036485481866627
1900-12-22,3.6,10.5,7.3543854851252535
1900-12-23,-2.0,12.6,3.9436225372666285
1900-12-24,-2.4,10.9,5.212347355754574
1900-12-25,4.0,14.5,8.303607594616102
1900-12-26,-0.8,13.4,6.450534508225094
1900-12-27,-1.8,9.0,2.8359221737693825
1900-12-28,-1.0,5.8,1.8144867150486856
1900-12-29,0.4,6.5,3.1666940098759353
1900-12-30,-2.0,5.8,2.9900479874778063
1900-12-31,-3.6,1.5,-1.3589234951335163
1901-01-01,-4.2,6.0,-0.23967330170815349
1901-01-02,-10.4,9.5,-1.7920137387909711
1901-01-03,-6.0,12.4,5.669251618433319
1901-01-04,-8.2,5.4,-0.3568453386879538
1901-01-05,-4.6,5.4,-0.314068834581511
1901-01-06,-6.4,3.2,-2.0845237328758954
1901-01-07,-2.0,5.4,0.30608917314393097
1901-01-08,-2.4,5.8,1.2482031621307668
1901-01-09,-2.6,8.2,1.3724344534358117
1901-01-10,-5.4,6.0,-0.48357880267302467
1901-01-11,-4.6,5.0,0.5160263283786269
1901-01-12,-0.8,10.8,3.8971564565688586
1901-01-13,-0.8,13.2,5.863632203102482
1901-01-14,-0.8,13.2,5.1523683230952555
1901-01-15,-1.8,9.8,3.492661473516269
1901-01-16,-0.2,9.5,3.2093987282756293
1901-01-17,-4.2,5.2,-1.221606614737324
1901-01-18,-1.8,5.4,1.5655483873370282
1901-01-19,-1.0,6.8,1.6638218107907874
1901-01-20,-7.4,6.0,3.108909160361412
