,TMIN min band,TMIN max band,TMIN
1900-10-29,-2.8,4.4,-1.0420359170007587
1900-10-30,-2.8,8.0,7.97128019691515
1900-10-31,0.0,6.1,3.3178807710438067
1900-11-01,-2.0,3.4,1.664883486023047
1900-11-02,4.4,11.8,8.013832905616782
1900-11-03,2.8,10.1,6.032306215156657
1900-11-04,4.6,13.6,8.217580360052628
1900-11-05,-4.0,0.8,-0.8200833121681594
1900-11-06,0.8,4.0,1.5246306445271227
1900-11-07,-2.8,3.0,0.5167316593643071
1900-11-08,2.6,8.8,4.1549344621960795
1900-11-09,-2.8,6.4,-0.06156992402801468
1900-11-10,-4.8,-0.4,-1.2198187769089024
1900-11-11,-4.2,0.6,-1.9987549121362003
1900-11-12,-4.6,5.0,-2.2604464677755423
1900-11-13,-3.4,0.0,-1.6386678697915618
1900-11-14,-0.8,2.1,1.2484348352315888
1900-11-15,-2.7,3.4,-0.3146731440894045
1900-11-16,-2.5,7.6,3.0358871926869306
1900-11-17,-5.8,0.6,-2.020081111674027
1900-11-18,-7.0,-2.0,-4.717126254085865
1900-11-19,-9.0,-4.0,-6.064751973769845
1900-11-20,-2.0,2.8,1.0378905775494727
1900-11-21,3.0,4.2,3.6288006139260145
1900-11-22,-1.0,1.6,0.2572207187703606
1900-11-23,-2.0,6.8,1.6444965552940949
1900-11-24,-6.2,0.0,-2.077550527788609
1900-11-25,-3.2,-0.2,-1.300751903249435
1900-11-26,-3.4,1.6,-2.078318447563722
1900-11-27,-3.2,-2.4,-2.871357203923352
1900-11-28,-1.0,1.2,-0.07480448473623802
1900-11-29,-4.0,-2.0,-2.786125546774438
1900-11-30,-0.8,5.6,2.9429374938811352
1900-12-01,-5.0,-4.2,-4.626805519147102
1900-12-02,-9.8,-4.8,-7.1641792908395425
1900-12-03,-6.0,-2.4,-4.625555439025767
1900-12-04,-1.4,1.8,-0.37447762607590945
1900-12-05,-0.8,1.2,0.1256470084271338
1900-12-06,-5.2,-0.2,-2.39319805024427
1900-12-07,-3.4,0.4,-1.1855687747409074
1900-12-08,-4.4,0.0,-2.603718137290582
1900-12-09,0.2,7.4,4.724717409740158
1900-12-10,1.0,6.2,3.1919269701982205
1900-12-11,-4.2,2.6,-1.8995940228163681
1900-12-12,0.0,7.8,3.2095902074014218
1900-12-13,-3.0,0.0,-1.4484128262963543
1900-12-14,-3.0,6.2,1.9493860526376197
1900-12-15,-3.2,7.0,1.1372017846340383
1900-12-16,-3.5,-0.4,-2.02991303946796
1900-12-17,-0.2,4.8,2.503415699053527
1900-12-18,-1.6,5.0,0.848170077015737
1900-12-19,0.0,2.6,1.1066627939874571
1900-12-20,-2.2,1.0,0.2501534646126186
1900-12-21,-3.4,1.6,-0.627211713420328
1900-12-22,1.0,4.2,2.4497101132584858
1900-12-23,-3.8,1.0,-1.553158270078552
1900-12-24,-1.9,1.6,-0.7631042766895222
1900-12-25,0.4,7.0,2.817104339715138
1900-12-26,-0.4,1.8,0.6234339485459373
1900-12-27,-6.4,-1.8,-3.239274782841389
1900-12-28,-5.2,0.0,-2.781619526054264
1900-12-29,-4.8,0.8,-1.6536288547896456
1900-12-30,-4.2,0.7,-1.2569188152560151
1900-12-31,-7.0,-5.4,-5.99226379008205
1901-01-01,-5.5,-1.0,-3.2723129066934566
1901-01-02,-11.8,-6.0,-8.879058851483412
1901-01-03,-7.2,-1.0,-2.6749622718489956
1901-01-04,-10.5,-1.2,-3.9622805239080896
1901-01-05,-9.2,0.0,-4.055794551289072
1901-01-06,-9.2,-0.4,-6.436966991272367
1901-01-07,-6.4,-3.0,-3.8484543149765758
1901-01-08,-5.4,-0.4,-2.008186118982579
1901-01-09,-6.0,3.0,-2.5092775160950236
1901-01-10,-11.4,3.6,-2.579704744220045
1901-01-11,-5.2,-2.0,-4.3599602289185455
1901-01-12,-8.8,-0.4,-3.954340738374865
1901-01-13,-3.0,3.0,-0.02968047056322792
1901-01-14,-3.0,5.0,1.689343882110968
1901-01-15,-3.6,4.2,-0.5995543083718615
1901-01-16,-2.0,1.4,-0.5200023627977973
1901-01-17,-10.0,-1.0,-6.866694229202819
1901-01-18,-7.8,-4.0,-5.712524516608932
1901-01-19,-9.0,-1.4,-4.433645366483917
1901-01-20,-4.2,-2.0,-3.2963135821852245
1901-01-21,-2.8,3.0,-0.07380378080298147
1901-01-22,-0.3,2.4,1.4109772669666374
1901-01-23,2.2,3.5,3.085178451213342
1901-01-24,-5.0,5.4,1.7133755301633153
1901-01-25,-5.0,-1.0,-3.050566431185614
1901-01-26,-6.0,-5.8,-5.948492356259115
1901-01-27,-8.1,0.2,-2.776125882781438
1901-01-28,-5.0,-3.4,-4.1072168581007995
1901-01-29,-10.0,-2.0,-3.996033223306532
1901-01-30,-13.8,-8.0,-11.665684071551334
1901-01-31,-17.6,-2.0,-6.589442488344123
1901-02-01,-16.6,-5.2,-11.219151535382995
1901-02-02,-2.8,-2.0,-2.518217277915946
1901-02-03,-11.4,-4.2,-6.160722773434436
1901-02-04,-11.1,-7.4,-8.645561967609458
1901-02-05,-6.8,-5.0,-6.430651674507132
1901-02-06,-9.5,0.8,-6.604701424739104
1901-02-07,-9.0,1.1,-6.278767815122617
1901-02-08,-6.2,-0.4,-4.398984884793796
1901-02-09,-4.0,2.2,-1.473118685198692
1901-02-10,-1.0,0.2,-0.4634163838679939
1901-02-11,-6.6,-1.0,-1.8718387122199145
1901-02-12,-9.0,1.6,-2.018654764535385
1901-02-13,-11.0,0.0,-2.6926682413265737
1901-02-14,-9.0,1.5,-4.280193835500962
1901-02-15,-11.4,-4.6,-5.71538788916475
1901-02-16,-11.6,-7.6,-10.216049858524968
1901-02-17,-6.0,3.8,-1.131642275601354
1901-02-18,-7.0,-2.0,-5.142016688970523
1901-02-19,-7.6,-1.6,-4.625118519707995
1901-02-20,-12.0,-4.4,-9.142329255391234
1901-02-21,-8.0,-2.2,-7.2188892596319505
1901-02-22,-12.0,1.2,-4.583768628040227
1901-02-23,-11.2,-5.6,-8.121349052338648
1901-02-24,-15.0,-6.0,-6.78533999231607
1901-02-25,-6.0,-0.4,-2.9317240360374948
1901-02-26,-5.2,-2.0,-2.9626341796553857
1901-02-27,-3.0,-1.8,-2.6424186560250646
1901-02-28,-3.6,-2.8,-3.2026297767058596
1901-03-01,-2.7,1.0,-0.7249645856948373
1901-03-02,-2.7,2.8,1.6131359389238735
1901-03-03,-5.5,-1.0,-4.214295965919155
1901-03-04,-4.4,0.4,-2.573990316940329
1901-03-05,-0.2,2.5,1.1455728862927508
1901-03-06,-4.4,-1.4,-2.908468099993357
1901-03-07,-6.0,-3.0,-4.919925150274219
1901-03-08,-8.8,-6.8,-7.835982680997502
1901-03-09,-9.8,-2.2,-6.254309533764557
1901-03-10,-12.0,-1.6,-6.779800127204736
1901-03-11,-3.6,0.0,-0.5053066181012811
1901-03-12,-1.0,5.4,1.259665644758146
1901-03-13,2.0,3.8,2.9939961155904626
1901-03-14,-1.2,2.8,1.3953154934276473
1901-03-15,-2.5,2.2,-0.10573064141832703
1901-03-16,-6.0,8.0,-3.2005585085423127
1901-03-17,-1.2,1.6,0.33724265513240403
1901-03-18,-8.2,-3.0,-5.189307364465114
1901-03-19,-11.8,-6.0,-7.880637608632604
1901-03-20,-4.0,-1.4,-2.545872502975589
1901-03-21,-6.3,-1.0,-3.758982240710909
1901-03-22,-6.4,4.0,-2.210919353549626
1901-03-23,-2.8,6.5,1.8131978233010984
1901-03-24,-3.6,1.0,-0.6148280240152132
1901-03-25,-2.4,0.6,-0.022944196363014785
1901-03-26,-2.2,-0.4,-0.9401664931448707
1901-03-27,-6.4,0.0,-2.7929782715502207
1901-03-28,-4.8,5.0,0.4136114501180793
1901-03-29,-4.0,2.6,0.6577508498589109
1901-03-30,-3.6,1.8,-1.2569418302579756
1901-03-31,-3.0,0.6,-2.18423919677893
1901-04-01,1.4,6.0,2.78269784511303
1901-04-02,2.2,4.2,3.268161820586672
1901-04-03,-1.2,7.6,3.1769577419822546
